year,month,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
1967,1,0.3927,8.1852,6.7630,-3.0018,1.9603,-2.2396
1967,2,0.3743,0.7557,1.7323,-0.2696,3.5877,2.5681
1967,3,0.3693,4.0169,1.9541,-1.6969,1.8805,-1.4695
1967,4,0.3344,3.8786,-0.7423,-2.9555,1.0983,-2.2351
1967,5,0.3126,-4.2807,2.9255,2.4553,0.5435,0.2749
1967,6,0.2674,2.4199,6.2469,-2.1705,0.3052,-0.3645
1967,7,0.3153,4.5788,3.0410,2.3657,-0.6857,-0.2301
1967,8,0.3240,-0.9048,0.2796,1.8169,-0.6780,-0.0025
1967,9,0.3177,3.1074,1.7933,-0.4427,0.7640,-0.6730
1967,10,0.3649,-3.0516,0.7602,-2.4696,3.3736,0.2062
1967,11,0.3416,0.3765,0.1469,-2.7435,0.7717,0.2452
1967,12,0.3565,3.0233,4.5407,0.3024,0.8598,1.4985
1968,1,0.3934,-4.0242,5.3560,4.7176,-2.8027,1.1116
1968,2,0.3849,-3.7294,-1.5945,2.7512,-0.3786,3.3476
1968,3,0.3977,0.1880,-2.2577,-1.1342,1.6761,1.2297
1968,4,0.4263,9.0295,5.3629,-2.6056,3.7654,-1.8814
1968,5,0.4672,2.2564,6.6879,-2.3007,1.9595,-0.3443
1968,6,0.4436,0.6752,-0.4370,2.4451,-0.4776,-0.0541
1968,7,0.4790,-2.6858,-1.1598,2.7632,-2.0893,3.3438
1968,8,0.4476,1.3272,2.1609,0.3690,-0.7607,1.5582
1968,9,0.4203,4.0566,1.4565,-0.5757,-3.4236,-1.1965
1968,10,0.4394,0.4255,-0.6765,2.6934,0.6051,2.5209
1968,11,0.4457,5.4064,2.8070,-1.3500,-0.4243,-0.9144
1968,12,0.4249,-3.9304,3.1584,2.5858,-0.7820,-0.7990
1969,1,0.5025,-1.2281,-0.3062,1.1292,-0.0716,0.4790
1969,2,0.4619,-5.8465,-3.8972,0.8505,1.0557,2.3751
1969,3,0.4802,2.6600,-0.3231,0.4294,1.9242,2.4972
1969,4,0.4859,1.5003,-0.1531,0.5674,2.0260,-0.2394
1969,5,0.5215,-0.1180,0.3904,1.4169,-0.0608,0.0381
1969,6,0.5137,-7.1923,-4.7147,-0.6165,3.3983,2.7048
1969,7,0.5520,-7.0331,-2.9356,2.0189,2.0938,3.4910
1969,8,0.5890,4.6032,1.0624,-2.5157,0.4656,-2.1066
1969,9,0.5856,-2.9387,0.7009,0.0668,2.0461,2.7928
1969,10,0.5724,5.0810,2.7812,-1.5403,-1.0961,-1.2440
1969,11,0.5509,-3.8235,-2.0291,0.1912,2.7448,2.3553
1969,12,0.5846,-2.5829,-3.7717,-0.6982,3.4988,1.6499
1970,1,0.5781,-8.0676,3.5654,3.5430,-1.1444,3.2341
1970,2,0.6167,5.0779,-2.4781,1.7291,-2.1480,0.1115
1970,3,0.5542,-1.0373,-1.2512,3.3862,-0.9004,3.0285
1970,4,0.5286,-11.0383,-4.6151,5.1911,0.3872,5.5545
1970,5,0.5546,-6.9458,-3.2335,3.1902,0.2447,3.5236
1970,6,0.5546,-5.7632,-1.8467,3.7465,2.6608,3.4050
1970,7,0.4886,6.9503,-0.4652,2.5463,-0.8376,-1.3000
1970,8,0.5020,4.5098,0.6459,-0.8656,-3.3301,-2.1076
1970,9,0.5034,4.2154,7.1669,-4.5667,-1.3578,-5.4412
1970,10,0.4954,-2.3108,-3.2219,2.9508,5.4955,3.8558
1970,11,0.4489,4.6033,-3.7063,0.7995,0.6342,2.1592
1970,12,0.3786,5.7758,2.7299,0.2507,-1.0452,-0.2179
1971,1,0.3777,4.8376,6.8598,-0.2597,-4.2142,-3.1558
1971,2,0.3344,1.3930,1.4446,0.6299,2.4201,0.7628
1971,3,0.2924,4.1315,2.6241,-1.9510,1.8917,-0.3244
1971,4,0.2804,3.1513,-0.2726,1.3011,-1.1778,-0.8574
1971,5,0.3127,-4.0032,-1.4716,0.8367,1.4240,0.8126
1971,6,0.3505,-0.0689,-0.6887,-0.7045,4.3682,2.3835
1971,7,0.4272,-4.5182,0.1955,2.3645,2.3820,0.9078
1971,8,0.4446,3.8113,-2.2947,1.5681,-3.3154,-0.0504
1971,9,0.3630,-0.8461,0.3436,0.0654,2.7789,1.2606
1971,10,0.3855,-4.4382,-1.2297,-0.8146,1.8180,2.5784
1971,11,0.3506,-0.4400,-2.6873,-0.2266,1.6927,1.5333
1971,12,0.3152,8.7371,2.7177,-2.1399,-1.4548,-1.5401
1972,1,0.2850,2.4876,6.6986,0.1462,-6.5071,1.9867
1972,2,0.2659,2.8485,0.4950,1.9687,1.0478,-0.3471
1972,3,0.2590,0.6398,-1.0272,1.8525,2.0909,1.5463
1972,4,0.2962,0.2728,0.2125,0.3011,0.7439,0.2760
1972,5,0.2942,1.2622,-2.5166,-1.4977,2.0886,1.2647
1972,6,0.2800,-2.4172,0.4544,-0.0441,3.5905,1.5990
1972,7,0.3084,-0.8379,-1.9601,-0.3812,2.1008,3.1851
1972,8,0.2988,3.2486,-3.5029,3.5752,-1.5004,0.5635
1972,9,0.3546,-1.1495,-1.0618,-1.1170,2.1073,0.4575
1972,10,0.3891,0.5271,-3.0777,-0.4563,-0.4274,0.7025
1972,11,0.3739,4.5932,-0.9410,2.6858,-4.0003,0.7102
1972,12,0.4185,0.5727,-1.7258,-1.4355,2.9657,1.8283
1973,1,0.4410,-3.2914,-2.3790,0.3819,-0.4243,3.3706
1973,2,0.4277,-4.8632,-4.4754,0.0895,-1.0202,1.4955
1973,3,0.4750,-1.3434,-1.6619,0.5769,-1.9084,3.2265
1973,4,0.5002,-5.6578,-2.9180,3.1285,-0.4763,4.0348
1973,5,0.5098,-2.9545,-5.7174,-0.4296,1.5506,1.6325
1973,6,0.5379,-1.5900,-1.2292,0.4198,-0.2085,2.8279
1973,7,0.6540,5.0252,7.9566,-5.7598,1.1344,-4.1055
1973,8,0.6855,-3.8072,-1.9410,1.6852,1.4658,1.5222
1973,9,0.6749,4.7528,5.7177,2.1917,-1.2980,-1.5064
1973,10,0.6856,-0.8618,-1.1937,2.6122,0.4963,4.1587
1973,11,0.5529,-12.7441,-7.4069,1.9803,-1.1485,2.1140
1973,12,0.6961,0.6662,-4.5565,2.5209,3.6897,4.5884
1974,1,0.6274,-0.1623,11.5318,2.0989,-4.7769,-0.5491
1974,2,0.5819,-0.4738,-0.4940,2.1141,-1.0424,1.4982
1974,3,0.5677,-2.8244,1.8302,-0.0561,1.8220,1.1755
1974,4,0.7949,-5.3312,-0.4711,2.3695,2.2048,2.4580
1974,5,0.7235,-4.6602,-4.0804,-0.3267,2.2505,0.4052
1974,6,0.6892,-2.9155,0.2568,1.5964,1.5680,2.1955
1974,7,0.6756,-8.0182,3.5313,4.4292,2.5752,5.7261
1974,8,0.5940,-9.3441,2.2084,3.1493,2.9710,4.8631
1974,9,0.7997,-11.7638,2.0541,4.8696,-2.3265,3.3618
1974,10,0.5254,16.0665,-6.1757,-1.8661,8.4658,1.0908
1974,11,0.5139,-4.4798,-0.8273,2.5432,1.7199,1.3494
1974,12,0.7009,-3.4489,-3.8523,2.1589,0.4904,1.9893
1975,1,0.5387,13.7063,12.4555,-0.5407,-11.6681,-5.4123
1975,2,0.4326,5.5567,-1.3678,-1.6716,3.5776,0.6164
1975,3,0.4014,2.6677,3.3143,-0.6366,-1.7325,-1.7775
1975,4,0.4489,4.2098,-1.3525,-0.0429,3.3383,2.3087
1975,5,0.4869,5.1412,3.2779,-0.1207,-0.2727,-0.0167
1975,6,0.4133,4.8549,1.6136,0.3474,-1.5739,-0.6539
1975,7,0.4811,-6.5875,2.9714,1.4388,-1.3879,1.7092
1975,8,0.4815,-2.8506,-3.2151,-0.1716,0.7131,1.3980
1975,9,0.5575,-4.2910,0.6399,1.3498,1.6700,3.3220
1975,10,0.5185,5.3410,-4.6540,2.9665,2.4021,2.5301
1975,11,0.4127,2.6416,-0.4698,1.5791,0.6746,1.5837
1975,12,0.4983,-1.6281,0.2832,-0.0445,-2.2550,0.4822
1976,1,0.4402,12.1729,6.7637,1.4911,-2.6484,0.8046
1976,2,0.3452,0.3126,6.9408,2.1537,-3.7702,0.8493
1976,3,0.4344,2.2851,-0.4251,1.6998,2.4445,1.6356
1976,4,0.4440,-1.5106,-0.5912,-0.7455,-0.2820,0.0681
1976,5,0.4124,-1.3764,-1.2446,-0.9754,0.4639,0.3942
1976,6,0.4446,4.0396,0.0400,1.3420,-0.0402,0.9140
1976,7,0.4390,-1.0327,1.1583,0.9213,0.7522,1.6262
1976,8,0.4745,-0.6094,-2.0534,-0.5976,0.0020,0.6256
1976,9,0.3924,2.1072,-0.2218,-1.4154,1.1099,0.9664
1976,10,0.4092,-2.4232,0.7091,-1.1258,0.2980,-0.4786
1976,11,0.4440,0.3095,3.4747,-0.2676,-0.5128,0.0726
1976,12,0.3579,5.6965,3.3003,1.8145,-1.0926,1.0779
1977,1,0.3594,-4.0293,6.0477,0.9952,-2.1493,1.6548
1977,2,0.3499,-1.9367,1.0733,0.1210,1.2509,0.4029
1977,3,0.3769,-1.3687,1.4505,-0.1567,0.2845,-0.3464
1977,4,0.4114,0.1140,1.2282,1.2277,0.3708,0.7455
1977,5,0.3855,-1.4659,1.5106,0.2061,1.7462,2.7125
1977,6,0.3716,4.7390,3.0804,-0.7070,2.3207,2.9200
1977,7,0.3873,-1.6568,1.0218,1.0303,1.7279,2.3998
1977,8,0.4993,-1.8072,-0.2567,-0.9221,1.3905,-0.0612
1977,9,0.4330,-0.2699,1.4214,-0.0246,1.3822,1.5164
1977,10,0.4943,-4.3844,1.4077,-0.5652,-0.9856,1.1205
1977,11,0.4959,3.9990,4.5803,1.2020,2.5650,1.4966
1977,12,0.4700,0.2831,1.4872,0.0436,1.2518,1.8240
1978,1,0.5374,-6.0475,2.2906,0.9791,-1.7383,0.2813
1978,2,0.4941,-1.4121,4.0881,1.3206,0.0728,1.6571
1978,3,0.5017,2.8714,3.3843,2.5349,-0.0044,0.1286
1978,4,0.5712,7.8260,-0.1048,-0.3620,5.5452,0.5713
1978,5,0.5317,1.7363,3.6571,0.8898,0.5030,0.5269
1978,6,0.5369,-1.6883,1.4505,0.4295,1.5126,1.2211
1978,7,0.5591,5.1020,0.1866,0.2737,1.8200,2.6165
1978,8,0.5550,3.7437,4.7053,1.1637,1.9068,0.6606
1978,9,0.5964,-1.4063,-0.7342,0.2454,-3.5455,-0.8557
1978,10,0.7498,-11.9729,-10.9812,0.5996,-1.1601,0.9794
1978,11,0.7041,2.7186,4.0574,-1.0321,1.2777,1.5672
1978,12,0.7372,0.9239,0.4927,-1.0916,2.6761,2.4785
1979,1,0.7882,4.2092,4.2986,1.6783,-1.2204,-1.3200
1979,2,0.7324,-3.5587,0.3875,-0.4669,-2.4104,0.4715
1979,3,0.8928,5.5859,3.8495,0.7620,2.3211,0.5210
1979,4,0.8489,-0.1153,2.3717,0.8093,1.8596,-0.2652
1979,5,0.8161,-2.2031,0.5172,-0.0488,-0.6354,0.4403
1979,6,0.7858,3.8639,0.8660,-0.8884,-1.0071,-1.7366
1979,7,0.8410,0.7485,1.2710,0.6421,0.5525,-0.6755
1979,8,0.7506,5.5385,1.6294,-0.3480,2.8977,-0.0615
1979,9,0.7732,-0.7533,-0.0593,-0.1385,0.6966,2.8822
1979,10,0.9621,-8.1773,-3.1861,0.0203,0.9841,1.6701
1979,11,0.9878,5.2074,2.1608,-2.5489,2.2859,-0.3063
1979,12,1.0209,1.7155,3.9760,-1.1103,1.2236,-0.0718
1980,1,0.7968,5.4968,0.7921,1.3627,1.7475,0.4129
1980,2,1.0654,-1.3984,-1.5739,1.6345,2.2602,3.6000
1980,3,1.2009,-12.8933,-6.5916,0.7581,-1.1728,-1.0575
1980,4,1.2865,3.9336,1.3320,1.2175,0.1694,1.4254
1980,5,0.7883,5.2657,1.4786,-1.3314,-0.9410,-0.7629
1980,6,0.6312,3.0402,1.3291,-1.1272,3.0683,0.8596
1980,7,0.5281,6.4915,3.6816,-2.2884,-0.5185,-3.3287
1980,8,0.5973,1.8486,4.7395,0.6597,2.4955,1.4979
1980,9,0.8698,2.0675,0.8408,-0.4912,5.1664,2.2821
1980,10,0.8912,1.1257,1.1740,0.4872,4.0221,2.6663
1980,11,0.8895,9.6524,-5.0212,-1.8913,9.0038,0.9803
1980,12,1.4149,-4.5940,1.0713,0.9482,-1.3091,0.1328
1981,1,0.9957,-4.9940,3.7021,2.3986,-4.8819,0.6518
1981,2,1.0685,0.5716,-0.0201,1.8857,0.7112,1.6607
1981,3,1.3157,3.4503,3.4804,-1.7376,-1.2845,-1.8721
1981,4,1.0756,-2.1749,4.1917,2.3693,1.3130,1.1015
1981,5,1.0646,0.1985,2.4700,-0.5126,-0.0310,1.6553
1981,6,1.5158,-2.5099,-0.7648,2.7016,-0.0363,1.8916
1981,7,1.1915,-1.4904,-1.6118,-1.9632,3.1684,-0.5645
1981,8,1.2804,-7.0074,-1.4041,1.2096,0.7400,2.2465
1981,9,1.2794,-7.1790,-1.7108,3.5737,0.6326,3.9886
1981,10,1.1685,4.9276,1.9553,-0.9336,4.7768,-0.9117
1981,11,1.1030,3.3194,-1.4226,0.5772,0.5431,1.9903
1981,12,0.8738,-3.6308,1.2955,1.8902,-0.5258,1.3389
1982,1,0.7306,-3.1709,-0.2857,1.9657,-1.4965,0.8404
1982,2,0.9176,-5.8456,0.5347,4.6920,0.2831,3.0890
1982,3,1.1077,-1.9771,0.6573,1.8195,-1.7068,2.4500
1982,4,1.1290,3.2698,0.4370,1.2193,1.8695,0.6936
1982,5,0.9592,-3.8098,-0.4127,-0.5062,-0.4732,0.9558
1982,6,1.0710,-3.1715,1.1223,2.8447,0.1267,3.4196
1982,7,1.0210,-3.1612,1.7394,2.0866,2.8217,3.8912
1982,8,0.8342,11.0525,-3.4326,-0.4869,-1.2647,-2.8913
1982,9,0.5118,1.2969,3.1042,1.0554,3.5292,3.4271
1982,10,0.5475,11.3367,0.8954,-1.0611,-0.7477,-0.6491
1982,11,0.7201,4.5870,4.4763,1.4577,3.1709,3.7709
1982,12,0.6289,0.6062,-0.7835,0.3764,-0.7018,-0.1808
1983,1,0.6864,3.5939,2.1435,-0.7614,-2.4666,-1.8943
1983,2,0.6186,2.5819,3.8038,1.5925,3.0701,1.9979
1983,3,0.6326,2.8195,1.6196,2.8506,1.1981,2.0383
1983,4,0.6918,6.6887,-0.3621,2.1995,0.5916,2.3438
1983,5,0.7584,0.4543,6.0434,-1.5313,-3.5924,-3.8807
1983,6,0.6661,3.0717,2.1425,-1.0979,1.6853,2.6099
1983,7,0.6917,-4.0181,0.6681,2.7569,1.1937,2.9514
1983,8,0.8342,-0.5699,-4.6885,1.1787,-0.4459,0.3396
1983,9,0.7607,0.9031,0.4367,1.3970,3.2821,2.9035
1983,10,0.7433,-3.4257,-3.8414,2.6593,1.6621,3.6913
1983,11,0.7199,2.1443,2.0678,1.1428,-0.2408,-1.7563
1983,12,0.7039,-1.7478,-1.1640,1.3559,-1.5441,1.0883
1984,1,0.8083,-1.9567,-0.9886,2.3062,-3.7095,0.8392
1984,2,0.7328,-4.7811,-1.8120,0.8863,-0.7879,0.6908
1984,3,0.7280,0.6341,-0.1928,0.6821,-0.6009,1.3120
1984,4,0.8130,-0.5127,-0.9117,1.0645,2.1320,2.3956
1984,5,0.7898,-5.9695,-0.4235,-1.4753,1.7699,1.8973
1984,6,0.7534,1.8032,0.4679,-2.2039,1.8694,0.7165
1984,7,0.8755,-2.7937,-2.2892,-1.2830,3.6501,3.0332
1984,8,0.7963,10.2880,0.2207,-0.4721,0.9497,0.0288
1984,9,0.8293,-0.7722,-0.7126,2.5781,0.2090,1.2392
1984,10,0.9766,-0.8323,-1.3929,-0.3580,2.6504,1.8062
1984,11,0.7334,-1.7642,-1.0682,2.2430,0.8066,1.6777
1984,12,0.6923,1.7787,-0.4138,-0.8233,2.5491,1.3251
1985,1,0.6474,7.9600,3.4463,-3.4606,0.9529,-1.6141
1985,2,0.6033,1.1965,0.7706,1.0929,1.5374,2.2266
1985,3,0.6160,-0.8419,-2.0582,3.3017,0.9065,2.0077
1985,4,0.7565,-0.9973,-0.6881,1.4033,0.1247,1.8037
1985,5,0.6062,5.1201,-1.5703,-1.2322,3.2125,1.5094
1985,6,0.5546,1.2632,-0.5342,-0.1947,2.9012,1.6931
1985,7,0.6196,-0.7145,2.3375,-0.8294,-1.8254,1.3221
1985,8,0.5792,-1.0296,-0.1861,2.1004,0.4292,1.1911
1985,9,0.6049,-4.5089,-1.8363,1.9461,1.1414,1.7401
1985,10,0.6021,4.0491,-0.2049,0.2621,2.1956,2.8545
1985,11,0.6156,6.4320,-0.2591,-1.6380,1.7977,-0.9075
1985,12,0.6139,3.9078,0.3141,-1.4699,1.7902,-0.9129
1986,1,0.4865,0.7227,1.0287,-0.7254,1.6748,1.8057
1986,2,0.5296,7.1168,-0.4460,-1.4591,2.2462,0.8818
1986,3,0.5963,4.8772,0.6392,1.0696,2.0588,1.7284
1986,4,0.5341,-1.2944,1.0715,-1.5687,0.6133,0.0687
1986,5,0.4934,4.6065,-1.1526,1.2670,3.4240,1.0162
1986,6,0.5246,1.0324,-0.3039,1.6213,5.2675,0.9327
1986,7,0.5011,-6.4162,-2.7381,1.3605,3.0084,2.8051
1986,8,0.4614,6.0496,-4.3982,3.0931,-2.7142,1.6140
1986,9,0.4783,-8.6058,0.5252,3.3941,-3.8265,-0.3290
1986,10,0.4209,4.6836,-2.0074,0.0731,0.9152,0.6076
1986,11,0.3924,1.1606,-2.0089,0.3927,1.0808,3.7270
1986,12,0.4767,-3.2311,0.8322,1.0976,1.8667,1.6189
1987,1,0.4151,12.4400,-1.2051,-1.2060,0.9762,2.8949
1987,2,0.4309,4.3789,3.3562,-1.9940,2.1102,-1.0600
1987,3,0.5012,1.6041,-0.7091,4.1837,-1.1967,1.3292
1987,4,0.4285,-2.0802,-2.4604,0.2886,-1.4876,0.5893
1987,5,0.3760,0.1082,-1.2256,-0.0863,-2.3834,-0.1520
1987,6,0.5031,3.8854,-1.5056,1.3777,1.3962,-0.2125
1987,7,0.4058,3.8826,-2.0579,0.0959,-1.7836,-0.6777
1987,8,0.4744,3.5170,-0.1822,-0.2525,3.7911,2.4264
1987,9,0.4820,-2.6140,0.6217,1.8967,0.5698,1.8495
1987,10,0.6040,-23.1879,-7.4882,3.3069,0.3633,2.5112
1987,11,0.3366,-7.7310,3.2781,0.6414,-0.6903,0.8775
1987,12,0.2988,6.9067,0.1942,-2.4651,3.8756,1.5120
1988,1,0.2762,4.2247,-0.7445,1.3380,-4.0738,-1.7589
1988,2,0.4564,4.7514,3.5222,-0.6046,1.0359,-0.5480
1988,3,0.4402,-2.2571,5.7222,1.6323,-2.1341,-2.0242
1988,4,0.4577,0.5650,0.9164,2.1374,0.6511,0.9069
1988,5,0.5051,-0.2803,-1.1973,0.4630,-0.1937,1.3535
1988,6,0.4832,4.7832,2.8704,-3.0884,2.2966,1.8386
1988,7,0.5060,-1.2466,0.1978,1.1117,-1.1818,0.0900
1988,8,0.5957,-3.3012,0.0616,1.6653,-2.1430,-0.3906
1988,9,0.6145,3.2965,-1.4769,-0.3702,2.1855,0.8178
1988,10,0.6074,1.1583,-2.8242,0.5001,0.0770,0.6632
1988,11,0.5742,-2.2859,-1.8972,1.4138,-0.4356,0.3435
1988,12,0.6306,1.4837,2.4450,0.4296,0.8003,0.4898
1989,1,0.5766,6.0493,-2.2236,0.0239,-0.3618,1.5782
1989,2,0.6110,-2.2487,2.9587,1.5780,-0.4763,-0.1450
1989,3,0.6213,1.6143,1.3245,1.2942,-0.1153,0.7068
1989,4,0.6810,4.3084,-0.9306,-0.2748,1.1544,-0.2083
1989,5,0.8006,3.3240,0.0502,0.0962,1.2157,0.3786
1989,6,0.7147,-1.3768,-0.7287,1.5757,-0.1791,-0.9479
1989,7,0.7040,7.1685,-3.4645,-0.4397,4.8851,2.4710
1989,8,0.6684,1.5108,0.4908,-0.4494,1.6706,0.2146
1989,9,0.6387,-0.7550,0.7485,1.2189,1.6167,1.9062
1989,10,0.6820,-3.6616,-3.3582,1.3075,1.3911,2.3063
1989,11,0.6340,1.0797,-1.3393,1.6274,0.2318,-0.4967
1989,12,0.5941,1.1757,-1.9402,1.5698,1.0607,2.4313
1990,1,0.5852,-7.8121,-1.2287,0.9179,0.0229,-0.2384
1990,2,0.5818,1.1005,1.1808,-1.1013,-0.3994,0.0998
1990,3,0.6380,1.8341,1.2165,-0.3900,2.2304,1.6434
1990,4,0.6829,-3.3490,-0.4572,-0.7818,2.2148,0.5999
1990,5,0.6404,8.4551,-1.6536,-0.7959,3.6987,2.6215
1990,6,0.5898,-1.0525,1.8531,0.2565,2.2178,-0.2309
1990,7,0.6704,-1.8917,-2.4751,4.0115,2.5682,0.0411
1990,8,0.6154,-10.0751,-4.5160,3.7164,-1.0224,1.2618
1990,9,0.5984,-6.1127,-3.4164,2.6031,-0.4763,2.6991
1990,10,0.6559,-1.8953,-5.0524,0.2572,2.1035,3.0655
1990,11,0.5651,6.3399,0.4543,-3.9832,1.5068,-0.8290
1990,12,0.5989,2.4606,1.2884,-1.9903,3.8744,1.4869
1991,1,0.4637,4.7364,3.3699,-3.9477,0.1467,1.5811
1991,2,0.4767,7.1852,3.6227,0.1527,-1.2271,-0.6810
1991,3,0.4391,2.6593,3.9386,-0.9253,1.6725,0.0336
1991,4,0.5335,-0.2777,-0.7098,0.4736,1.3908,0.6355
1991,5,0.4461,3.6749,-0.5752,-1.9554,-0.6927,-1.0672
1991,6,0.4171,-4.9394,0.0663,0.6281,1.3690,0.4713
1991,7,0.4840,4.2415,-0.5438,-0.6573,3.0879,0.3736
1991,8,0.4610,2.3150,1.2856,-0.0439,1.1556,-0.2208
1991,9,0.4558,-1.5905,1.8102,-0.8246,-0.3653,0.2770
1991,10,0.4246,1.2859,0.6530,1.2670,0.1021,3.1848
1991,11,0.3915,-4.1854,-0.2919,0.2795,3.3436,0.4427
1991,12,0.3792,10.8282,-1.4823,-2.0517,6.7572,-0.4819
1992,1,0.3059,-0.5576,8.3435,1.5152,-4.0947,1.4886
1992,2,0.2828,1.0845,1.3866,2.2368,0.7602,2.2047
1992,3,0.3376,-2.6540,-1.2026,2.0030,1.0144,1.9610
1992,4,0.3303,1.0759,-6.9510,1.7925,-1.7002,1.9513
1992,5,0.2758,0.2999,-0.2694,0.3129,-0.2016,-0.7390
1992,6,0.3201,-2.3291,-2.6443,0.6352,1.0312,0.7850
1992,7,0.2892,3.7905,-0.7693,0.4004,2.6295,0.0544
1992,8,0.2605,-2.3768,-0.3119,-0.7408,1.4856,-0.9159
1992,9,0.2573,1.1929,0.6767,-0.3963,2.3929,-0.8258
1992,10,0.2286,1.0160,1.5295,-0.3951,2.1301,0.6002
1992,11,0.2346,4.1282,3.6265,-1.2597,0.8819,-0.2100
1992,12,0.2270,1.5885,2.7478,1.4148,1.8144,1.0234
1993,1,0.2335,0.9306,2.3004,2.9452,-1.4324,0.0798
1993,2,0.2209,0.1217,-3.3377,3.6514,-1.4408,2.3166
1993,3,0.2538,2.3138,0.0007,0.9470,1.7886,0.4714
1993,4,0.2372,-3.0466,-1.1491,1.2218,-3.0049,2.0458
1993,5,0.2168,2.8845,1.8096,-0.7862,-0.5640,-0.3906
1993,6,0.2756,0.2822,1.5931,1.8164,3.0124,1.6362
1993,7,0.2402,-0.3440,1.4132,1.4579,-0.5457,0.8878
1993,8,0.2530,3.7117,-0.0100,-0.0355,0.4808,0.7241
1993,9,0.2356,-0.1006,3.1119,0.2698,0.9296,1.4222
1993,10,0.2210,1.4145,0.4217,-0.5462,-1.4207,-1.4347
1993,11,0.2477,-1.8646,-1.8610,-0.7556,-0.7580,0.1243
1993,12,0.2263,1.6455,2.1179,-0.2518,2.3731,2.2608
